COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Dominican Republic,DOM,AMRO,REPORTING,2021-12-23,14021891,6930203.0,129.259,63.885,5685417.0,52.41,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3.0
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726.0,28.441,22.034,2965.0,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,2.0
Guadeloupe,GLP,AMRO,REPORTING,2021-12-23,272920,136191.0,68.209,34.037,126889.0,31.712,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-08,5.0
Hungary,HUN,EURO,REPORTING,2021-12-19,14923122,6167305.0,152.8,63.128,5677955.0,60.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7.0
Estonia,EST,EURO,REPORTING,2021-12-19,1800729,833531.0,135.5,62.72,719224.0,59.731,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Belarus,BLR,EURO,REPORTING,2021-12-19,7708200,4356041.0,81.6,46.099,3228165.0,34.163,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac",2021-02-03,2.0
Slovenia,SVN,EURO,REPORTING,2021-12-19,2660516,1233102.0,126.9,58.835,1042999.0,56.267,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Switzerland,CHE,EURO,REPORTING,2021-12-19,11417396,5939646.0,131.9,69.017,5477750.0,64.225,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,3.0
Uzbekistan,UZB,EURO,REPORTING,2021-12-12,33479145,16893118.0,100.0,50.474,11102403.0,27.75,"Anhui ZL - Recombinant,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-28,6.0
Kazakhstan,KAZ,EURO,REPORTING,2021-12-19,17753627,9089156.0,94.6,48.407,8664471.0,46.145,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,RIBSP - QazVac,Sinovac - CoronaVac",2021-04-07,5.0
Finland,FIN,EURO,REPORTING,2021-12-19,9226166,4338006.0,167.0,78.512,4110360.0,74.392,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
France,FRA,EURO,REPORTING,2021-12-19,119329696,52513674.0,177.3,78.006,47684219.0,72.4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Belgium,BEL,EURO,REPORTING,2021-12-19,20632943,8881591.0,179.1,77.081,8343958.0,76.061,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Poland,POL,EURO,REPORTING,2021-12-19,45700535,21489195.0,120.4,56.613,18312425.0,55.009,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Georgia,GEO,EURO,REPORTING,2021-12-19,2200773,1175556.0,55.2,29.469,982215.0,24.622,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4.0
Ireland,IRL,EURO,REPORTING,2021-12-19,9026746,3882569.0,181.8,78.208,3587167.0,77.025,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Malta,MLT,EURO,REPORTING,2021-12-19,975632,426674.0,189.6,82.92,390124.0,81.978,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Kosovo,XKX,EURO,REPORTING,2021-12-19,1655457,873838.0,92.2,48.664,777226.0,43.283,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
Italy,ITA,EURO,REPORTING,2021-12-19,104968360,47560418.0,176.0,79.748,42580609.0,73.871,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Croatia,HRV,EURO,REPORTING,2021-12-19,4552698,2241855.0,112.2,55.286,1906745.0,51.55,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Portugal,PRT,EURO,REPORTING,2021-12-19,19048187,9275313.0,185.0,90.128,7333285.0,82.18,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Azerbaijan,AZE,EURO,REPORTING,2021-12-19,10800159,5155224.0,106.5,50.845,4494976.0,44.333,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4.0
Denmark,DNK,EURO,REPORTING,2021-12-19,11045153,5057414.0,189.7,86.856,4756065.0,82.484,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,4.0
Lithuania,LTU,EURO,REPORTING,2021-12-19,3963173,1901591.0,141.8,68.212,1550776.0,64.957,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Germany,DEU,EURO,REPORTING,2021-12-19,142311668,61015143.0,171.1,73.365,54900490.0,70.291,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Ukraine,UKR,EURO,REPORTING,2021-12-19,27351330,14424634.0,62.5,32.983,12926696.0,29.559,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,6.0
Albania,ALB,EURO,REPORTING,2021-12-19,2256942,1126768.0,78.4,39.592,1007258.0,35.393,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5.0
Bosnia and Herzegovina,BIH,EURO,REPORTING,2021-11-30,1553874,882641.0,47.4,26.903,720631.0,21.965,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.0
Iceland,ISL,EURO,REPORTING,2021-12-19,702239,285469.0,192.9,78.397,227179.0,77.255,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
Czechia,CZE,EURO,REPORTING,2021-12-19,14909247,6777341.0,139.4,63.376,6167261.0,61.426,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0
Latvia,LVA,EURO,REPORTING,2021-12-19,2373884,1248616.0,124.4,65.452,935935.0,62.596,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4.0
