COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Mongolia,MNG,WPRO,REPORTING,2022-05-06,5619236.0,2273095.0,171.408,69.338,2175855.0,66.372,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-23,6.0,1041240.0,31.762
Montenegro,MNE,EURO,REPORTING,2022-04-10,528839.0,276421.0,84.2,44.45,252418.0,40.59,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-02-24,5.0,0.0,0.0
Montserrat,MSR,AMRO,REPORTING,2022-05-06,4255.0,1916.0,85.117,38.328,1829.0,36.587,AstraZeneca - Vaxzevria,2021-02-08,1.0,510.0,10.202
Morocco,MAR,EMRO,REPORTING,2022-05-10,54485117.0,24908701.0,147.614,67.484,23387915.0,63.364,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-28,10.0,6286214.0,17.031
Mozambique,MOZ,AFRO,REPORTING,2022-05-08,31616078.0,14816217.0,101.154,47.404,13891137.0,44.444,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-08,3.0,340293.0,1.089
Myanmar,MMR,SEARO,REPORTING,2022-05-09,55949240.0,30782442.0,102.829,56.575,23672564.0,43.508,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-01-27,2.0,1494234.0,2.746
Namibia,NAM,AFRO,REPORTING,2022-05-08,834756.0,479078.0,32.853,18.855,408202.0,16.065,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,4.0,55574.0,2.187
Nauru,NRU,WPRO,REPORTING,2022-03-31,22976.0,9464.0,212.073,87.355,8585.0,79.241,"AstraZeneca - Vaxzevria,SII - Covishield",2021-04-09,2.0,4927.0,45.477
Nepal,NPL,SEARO,REPORTING,2022-05-09,45693223.0,22326785.0,156.823,76.627,19701003.0,67.616,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,8.0,3665435.0,12.58
Netherlands,NLD,EURO,REPORTING,2022-05-01,36126361.0,13465622.0,207.5,77.355,12405837.0,71.267,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2021-01-06,6.0,9304880.0,53.453
New Caledonia,NCL,WPRO,REPORTING,2022-05-02,459742.0,188146.0,161.032,65.901,180038.0,63.061,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-20,2.0,91558.0,32.07
New Zealand,NZL,WPRO,REPORTING,2022-05-06,11053632.0,4263702.0,229.222,88.418,4074691.0,84.498,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-19,4.0,2660782.0,55.177
Nicaragua,NIC,AMRO,REPORTING,2022-05-06,10404774.0,5714698.0,157.064,86.265,4690076.0,70.798,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-03,9.0,,
Niger,NER,AFRO,REPORTING,2022-05-08,2692524.0,2190790.0,11.123,9.05,1549279.0,6.4,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-29,2.0,,
Nigeria,NGA,AFRO,REPORTING,2022-05-08,41091354.0,27401621.0,19.934,13.293,15931011.0,7.728,SII - Covishield,2021-03-05,1.0,942369.0,0.457
Niue,NIU,WPRO,REPORTING,2022-03-13,4161.0,1650.0,257.169,101.978,1417.0,87.577,Pfizer BioNTech - Comirnaty,2021-06-08,1.0,1094.0,67.614
North Macedonia,MKD,EURO,REPORTING,2022-05-01,1847640.0,853497.0,88.7,41.108,836829.0,40.305,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2021-02-17,6.0,157314.0,7.577
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2022-05-04,111665.0,44759.0,194.008,77.765,43866.0,76.213,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-19,3.0,23040.0,40.03
Norway,NOR,EURO,REPORTING,2022-05-01,11293086.0,4333777.0,210.4,80.74,4038343.0,75.236,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-23,4.0,2927946.0,54.549
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-05-08,3720221.0,2002142.0,72.925,39.247,1768991.0,34.676,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-02,10.0,327224.0,6.414
Oman,OMN,EMRO,REPORTING,2022-04-27,7039789.0,3261677.0,137.856,63.871,3030281.0,59.34,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2020-12-29,11.0,747831.0,14.644
Pakistan,PAK,EMRO,REPORTING,2022-05-08,252931485.0,142432832.0,114.504,64.481,120303098.0,54.462,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-03,11.0,6998766.0,3.168
Palau,PLW,WPRO,REPORTING,2022-04-21,47030.0,20176.0,259.949,111.519,17937.0,99.143,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-03,3.0,11266.0,62.271
Panama,PAN,AMRO,REPORTING,2022-05-06,8079415.0,3466298.0,187.25,80.336,3079475.0,71.371,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-20,2.0,1529863.0,35.456
Papua New Guinea,PNG,WPRO,REPORTING,2022-04-19,441214.0,323345.0,4.931,3.614,263995.0,2.951,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-30,4.0,13841.0,0.155
Paraguay,PRY,AMRO,REPORTING,2022-05-06,8647379.0,3895435.0,121.238,54.615,3386833.0,47.484,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-22,8.0,1363828.0,19.121
