date,iso_code,continent,location,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-11-12,OWID_WRL,,World,7096036624,815250484,6937594,6849404,0.05624113136180889,0.01874704306430194,0.00019271810947714727,0.06190662065263548,0.00043308668807655933,0.006223217396309379,372764,1561.0,435582.0,3041368.0,4674343.0,388823.9033203125,14926.0966796875,7925074107,0.8663350261858427,0.9098869061358728
2022-11-13,OWID_WRL,,World,7097870393,813681232,6869515,6850741,0.05463620852671162,0.018212068925008817,0.00018152664343843778,0.06165558995067338,0.00042831001858282213,0.005945209014118754,372774,1337.0,429483.0,3073199.0,4544721.0,349361.8232421875,13379.1767578125,7925271882,0.8439604169655575,0.9009816723851934
2022-11-14,OWID_WRL,,World,7099516068,812307895,6793709,6851988,0.061729348200771195,0.02057644697625708,0.0002019515407563085,0.06126447276443545,0.000422331180177183,0.00627706566658457,372783,1247.0,423544.0,3040089.0,4311232.0,336140.2548828125,12844.7451171875,7925469661,0.961905957803955,0.9024346587002195
2022-11-15,OWID_WRL,,World,7101425905,810622062,6766118,6853360,0.0675036549799542,0.022501219076867928,0.00023588119509591763,0.06030134266059209,0.0004125230677540513,0.006786026750384119,372792,1372.0,416213.0,2998347.0,4576086.0,375666.4150390625,14327.5849609375,7925667446,1.0721333421619943,0.9083280340536959
2022-11-16,OWID_WRL,,World,7103771529,808457423,6781326,6854956,0.07127506320653937,0.023758350250873285,0.00025393263795310826,0.059108941230667865,0.0003958370547750433,0.007367976131154656,372802,1596.0,408006.0,2929502.0,4981293.0,409238.5810546875,15571.4189453125,7925865235,1.1593603605274165,0.9110006871502304
2022-11-17,OWID_WRL,,World,7106665305,805712639,6828407,6856678,0.07195670377621435,0.02398556884036984,0.00027385596669911446,0.05801397016903064,0.00038439322557112956,0.008020798838952273,372811,1722.0,400837.0,2811936.0,5438622.0,433206.072265625,16433.927734375,7926063030,1.1963020174446524,0.9109832049498328
2022-11-18,OWID_WRL,,World,7110136822,802377861,6887597,6858548,0.06715854538573461,0.022386179518284564,0.00023854473483277258,0.05706620175367403,0.00038269446398319203,0.008323522267432373,372820,1870.0,396143.0,2731754.0,5944617.0,440553.849609375,16649.150390625,7926260829,1.1371242175968004,0.9112011730204194
2022-11-19,OWID_WRL,,World,7113860643,798814351,6923447,6860191,0.06195941023837749,0.020653136422490847,0.00020625564115678218,0.05651895652555728,0.00036997041858601845,0.008815955779792235,372830,1643.0,393049.0,2721010.0,6159807.0,414933.603515625,15608.396484375,7926458633,1.0625468804239986,0.9091320275247101
2022-11-20,OWID_WRL,,World,7118068243,794796461,6930119,6861619,0.05862975439031282,0.01954325245774367,0.0001940803613906197,0.056262958832308654,0.0003594576382973309,0.009103900620210409,372839,1428.0,391306.0,2631918.0,6520930.0,384995.6328125,14410.3671875,7926656443,1.0118430316303817,0.9089798052358617
2022-11-21,OWID_WRL,,World,7122563887,790510096,6917309,6862964,0.06606809651438697,0.022022696897377948,0.00022393101132246659,0.05619439582646951,0.0003488731079682541,0.008920460380937086,372848,1345.0,389909.0,2558644.0,6711992.0,364863.8857421875,13580.1142578125,7926854257,1.1411486834298017,0.91921683778394
2022-11-22,OWID_WRL,,World,7126904325,786330356,6952881,6864513,0.07327968642702294,0.024426561395174066,0.00025399543009581207,0.05582160833760854,0.00035230176878467406,0.008617896979397787,372857,1549.0,388714.0,2484871.0,6526814.0,410643.025390625,15191.974609375,7927052076,1.2718777904944147,0.9312997493322261
2022-11-23,OWID_WRL,,World,7130894574,782451129,7037917,6866279,0.0739477374139726,0.024649247695891857,0.00025206321700014367,0.055133074175214056,0.00034960971219079887,0.008255380764263427,372867,1766.0,388121.0,2510821.0,6250991.0,458076.08203125,16846.91796875,7927249900,1.298226419995094,0.9417875506347707
2022-11-24,OWID_WRL,,World,7134573803,778872472,7133400,6868053,0.07565510567812242,0.025218367387742177,0.00026298819637199654,0.05458336837973477,0.00034342569964504016,0.007715075585677594,372876,1774.0,388022.0,2493030.0,5930715.0,468155.896484375,17123.103515625,7927447729,1.3393520302297945,0.9495011703277596
2022-11-25,OWID_WRL,,World,7137827676,775702422,7245535,6869929,0.06990686242017918,0.023302285549836033,0.00022496613431582347,0.05410256109452235,0.0003394398281686534,0.0074943352388585766,372885,1876.0,389365.0,2450196.0,5474898.0,485701.525390625,17674.474609375,7927645563,1.248893022570543,0.9559969196912097
2022-11-26,OWID_WRL,,World,7140942302,772705067,7324473,6871559,0.06461059799507406,0.02153686705238761,0.00019414366057462427,0.05396401898129736,0.00033824611622987983,0.007320032230906776,372895,1630.0,392002.0,2422863.0,5272720.0,456049.625,16520.375,7927843402,1.1573198733036283,0.9620386719662886
2022-11-27,OWID_WRL,,World,7143938189,769860640,7369434,6872981,0.05953568957582374,0.019845230066081427,0.0001731476257199671,0.05399681983718153,0.00034018085482767624,0.00723606157265024,372904,1422.0,395258.0,2415396.0,5108621.0,426265.912109375,15375.087890625,7928041245,1.0657455732664032,0.969240684332069
