date,S0,V0,I0,D0,beta,beta_v,gamma,theta,alpha,alpha0,pi,death_avg,recovery_case,new_full_vaccinated,new_boost_req,daily_case_non_vaccinated,daily_case_vaccinated,current_pol_N,daily_R0,avg_R0
2022-09-18,63632052,34971487,47144,43967,0.07162758035158347,0.023875858666548875,1.7197729008367533e-05,0.05464109960970643,0.0020137335595219585,0.008312200095335929,4120,0.0,2588.0,143167.0,150658.0,2345.2916870117188,431.70831298828125,98694651,1.1396562084552426,1.2821025564984876
2022-09-19,63794302,34811544,47144,43967,0.07421908771128316,0.02473969256249527,1.7197729008367533e-05,0.05451382996775836,0.001773010989271986,0.008132733174736244,4121,0.0,2576.0,128138.0,193256.0,2177.1533813476562,398.84661865234375,98696958,1.1980234221051385,1.2670311610203548
2022-09-20,63963955,34644096,47247,43967,0.0754965878095072,0.02516552767625617,1.7197729008367533e-05,0.054479649501555656,0.0015333479523206243,0.007635067032636452,4121,0.0,2570.0,113108.0,190499.0,2261.622772216797,411.3772277832031,98699266,1.2301562438713,1.2543858958346206
2022-09-21,64129970,34480233,47402,43967,0.07481022453222577,0.024936739617684552,1.7197729008367533e-05,0.05442808320324037,0.0012950107344934898,0.0071420049662834625,4121,0.0,2574.0,98079.0,177020.0,2311.6546325683594,417.3453674316406,98701573,1.2326637138601273,1.2388015472376959
2022-09-22,64292765,34319609,47539,43967,0.07202133786958057,0.024007114196825045,1.7197729008367533e-05,0.0545446896232567,0.0013087786592369541,0.006650891610465232,4121,0.0,2580.0,83049.0,163538.0,2304.0642700195312,412.93572998046875,98703881,1.1747539578854012,1.2211126940165644
2022-09-23,64436540,34178107,47573,43967,0.06711887545002299,0.022372956994314654,1.7197729008367533e-05,0.05490509322514872,0.001322867412026602,0.006579182364988837,4121,0.0,2593.0,84145.0,150057.0,2230.1758422851562,396.82415771484375,98706188,1.085389112578158,1.2068562605150612
2022-09-24,64575990,34041124,47414,43967,0.06262828164073521,0.020876093693531012,1.7197729008367533e-05,0.055785211119078755,0.0013369674901572745,0.005325147241426021,4121,0.0,2612.0,85241.0,151226.0,2084.45751953125,368.54248046875,98708496,0.9724406394851001,1.1916251356864302
2022-09-25,64670925,33948858,47053,43967,0.05656904066872131,0.018856349110655847,1.7197729008367533e-05,0.057020806324782694,0.0013519367400605887,0.004252042800787166,4121,0.0,2645.0,86336.0,112496.0,1942.6458435058594,341.3541564941406,98710804,0.8332472740187485,1.1744615601338175
2022-09-26,64728068,33894656,46419,43967,0.05373319227376804,0.017911064035626846,1.7197729008367533e-05,0.05857515241603654,0.00136767560870958,0.004463800906573972,4121,0.0,2683.0,87431.0,80033.0,1743.8555908203125,305.1444091796875,98713111,0.7746367992372941,1.1566892756958935
2022-09-27,64791207,33834623,45621,43967,0.05339177858863319,0.01779725915524937,1.7197729008367533e-05,0.06021349816970255,0.0013832432437625348,0.004516941053101119,4121,0.0,2719.0,88527.0,91255.0,1635.5213928222656,285.4786071777344,98715419,0.7488831228929327,1.1396563138949003
